"outcome_class","project_name","hash","commit_message","files_changed","insertions","deletions"
"1","ofbiz","c3cc66f1da0d54f918179c342280219024f64bc2","The description attribute of the display-entity element is now escaped to prevent the risk of an XSS attack. [CVE-2015-3268] Stored Cross-Site Scripting Vulnerability affecting the description attribute of the display-entity element because it was not escaped.","1","9","2"
"1","ofbiz","0187743b1ef3c847a2d6b8687070c909316936a6","Removed support for runtime nested expressions in FlexibleStringExpander.java. This fixes the vulnerability CVE-2013-2250","2","26","0"
"1","ofbiz","6501116835ea7429c54dc0723cb3d380612a2eae","The content rendered in the Webtools view log"" screen is now rendered from the ofbiz.log file rather then the ofbiz.html file in order to provide more control on the html code rendered in the screen. This fixes the vulnerability CVE-2013-2137""","4","22","18"
"1","ofbiz","ec9b4d668aa2211379588e33190936597ae562d0","CVE-2013-0177: The Image.alt is now escaped to prevent the risk of an XSS attack.","1","6","1"
"1","ofbiz","5caeb525634157e10bde176f33afc60bbe3e9ef0","CVE-2012-3506: Unlike descriptions and values, tooltips were not encoded, thanks to Scott for spotting it (r1377382 was flawed)","1","7","3"
"1","ofbiz","47f63d8126ba5c6bd1461d45d8c10b59f30d8f2d","Upgraded Ant from 1.8.3 to 1.8.4 and Commons Compress"" from 1.4 to 1.4.1 in order to protect the system from vulnerability reported in CVE-2012-2098: Apache Commons Compress and Apache Ant denial of service vulnerability.""","8","11","11"
"1","ofbiz","0c326065819cf11e5f493e6c54656a32d21c6ad4","CVE-2012-1621: Prevent user submitted data from being streamed directly back to the browser when the content map-key is not found.  Log a warning instead.","1","1","1"
"1","ofbiz","e3035e2a93ea80a24c1653591dba72a03efc9f56","CVE-2012-1622: Disable support for nested scripts in FlexibleStringExpander.","2","13","0"
"1","ofbiz","08f833532f9abfd7e7f75b4b7ca096702ac97046","CVE-2012-1621: Ensure that collections (except for maps) are properly encoded for html when rendered using toString() e.g.","1","20","0"
"1","ofbiz","192668ae5439349feebcbb9c4382846ef7a9805b","CVE-2012-1621: Escape errors returned from ajax calls in the checkout pages","1","3","2"
"1","ofbiz","86c70f4c06a774b78abe33fc0f8a3b8ab092eee7","CVE-2012-1621: Removed the Webslinger component and all the framework dependencies on it; the reasons for this * no active committer was maintaining the webslinger component * the component was experimental and not really used by OFBiz * the component was really big (lot of jars etc...) and we are trying to slim down the OFBiz framework and keep only the essential/useful features * this fixes a security issue reported to the OFBiz PMC","101","8","2090"
"1","ofbiz","5aa135f01ddcaa227c3db72bb08715bbb2ca19d2","[CVE-2010-0432] Multiple fixes to the macro and html form widget renderers to ensure that all output is encoded when necessary.","4","76","44"
"1","ofbiz","eef44e37a15f5850171c3aae15b1777ce8de847d","[CVE-2010-0432] Properly encode any error messages before attempting to write them to the response.  I'm doing it here to avoid having to do the encoding within each app's error.jsp file, I think this should be fine though.","1","5","2"
"1","ofbiz","34125e42d1db74064482c296c871e11c92dc4527","[CVE-2010-0432] Added an OFBiz specific FreeMarker TemplateExceptionHandler, ensures that any stack trace error messages are properly encoded before being dumped to the browser (or anywhere else).","1","31","0"
"1","ofbiz","50983b72a329851f88a013630b718efbd4c291bf","[CVE-2010-0432] Menu widget links of type hidden-form were not correctly encoding the value attribute.","1","6","1"
"1","karaf-site","5695d37fa02a481d63a5b2df966a9fe612c93f31","Publish CVE-2018-11787 advisory","2","48","0"
"1","karaf-site","4532bbb785c163e38c9c09683067411f0b3da031","Announce CVE-2018-11786 advisory","2","58","0"
"1","nifi-site","fa195c457c5c348bc81c5b8fe29fbcd69cbb7356","Added 1.6.0 CVEs to security.html (CVE-2018-1309, CVE-2018-1310, CVE-2017-8028, CVE-2018-1324).","1","66","0"
"1","nifi-site","c029cc5844e72b0cf435312fb96f91ad4833b89e","Added CVE-2017-15703 to security.hbs.","1","15","0"
"1","nifi-site","90b79ac8b4c9c2433be726a7c4a6b6d52c6e49f1","Added CVE-2017-12632 and CVE-2017-15697 to security.hbs.","1","40","4"
"1","nifi-site","b29f99080449883c9d040f0b1d149d17d74ec43c","Added CVE-2017-12623 and release dates and link anchors to security page.","1","31","5"
"1","nifi-site","cf05c9e81a85d1b4f85acf80253fbc9455c413d6","Updated security page with CVE-2017-5635 and CVE-2017-5636.","1","43","1"
"1","nifi-site","2c707bffa501a8c8beae14505038aeedf5c5bfa1","Added information for security/security page and CVE-2016-8748","2","58","0"
"1","james-project","34d11a2b7021331c43c11e7be8f7672052dc2736","JAMES-2198 CVE-2017-12628 Upgrade commons collection to version 3.2.2","1","1","1"
"1","maven-plugins","129789421562cad2354a77368cd17f366504085f","Use proper version of m-javadoc-p (CVE-2013-1571) and m-project-info-reports-p (M3.1+)","1","10","0"
"1","maven-plugins","d63cf27219caa20f074526c33056e510bf31a8f0","Set m-site-p to 3.3 so it can be built with M3.1 Set m-javadoc-p due to CVE-2013-1571","1","10","0"
"1","maven-plugins","56d7bb27fc31c70eb8b53be8c35a2fa273502c35","[MJAVADOC-370] Javadoc vulnerability (CVE-2013-1571 [1], VU#225657 [2]) Submitted by Uwe Schindler","2","97","0"
"1","mysql-packaging","ba2797e193325f5ec73395937a9cb11ed22fd228","Add patch for CVE-2016-5483","4","711","0"
"1","kernel-arndale","72202f05a62ecaebfdf2008079c647eeb5e69f1d","drm/i915: bounds check execbuffer relocation count (bnc#808829,CVE-2013-0913).","2","54","0"
"1","kernel-arndale","821f03cc42540adaf60c72e9a1ac311a960c18db","TTY: do not update atime/mtime on read/write (bnc#797175 CVE-2013-0160).","2","56","0"
"1","kernel-arndale","e6b44d36c433010d334b5237e4bb8fb4c001acc1","- xen-pciback: rate limit error messages from   xen_pcibk_enable_msi{,x}() (CVE-2013-0231 XSA-43 bnc#801178). - Update Xen patches to 3.8-rc6 and c/s 1222.","36","653","434"
"1","kernel-arndale","4fb112d4b059bdd833834bd9f7e2aecc7acc4eac","proc: clean up and fix /proc/<pid>/mem handling (bnc#742279, CVE-2012-0056).","2","264","0"
"1","kernel-arndale","7923119c3a52365ae563efb9674c2fc0bb3c3165","- patches.fixes/hfs-fix-hfs_find_init-sb-ext_tree-null-ptr-oops.patch:   hfs: fix hfs_find_init() sb->ext_tree NULL ptr oops   (CVE-2011-2203 bnc#699709).","2","92","0"
"1","kernel-arndale","385b39373a04b55fd06c8b4845d168ccb017f058","- fs/partitions/efi.c: corrupted GUID partition tables can cause   kernel oops (bnc#687113 CVE-2011-1577).","2","55","0"
"1","kernel-arndale","2e42fd4caaf0f01aeddcfbc8465588c9dfa81fef","- Prevent rt_sigqueueinfo and rt_tgsigqueueinfo from spoofing   the signal code (bnc#681826 CVE-2011-1020).","2","72","0"
"1","kernel-arndale","5ef002b0523a562a38ddc3f0f9f1e246eb84cceb","- ALSA: caiaq - Fix possible string-buffer overflow (bnc#672499,   CVE-2011-0712).","2","51","0"
"1","kernel-arndale","bcdc88b4fec5f45e075d7cfd1a45165ecfc1de7b","- rose: Fix signedness issues wrt. digi count (CVE-2010-3310   bnc#640721).","2","46","0"
"1","kernel-arndale","6df45c918e319ac582029ad68de01ec37e75f609","- wext: fix potential private ioctl memory content leak   (CVE-2010-2955 bnc#635413).","1","37","0"
"1","kernel-arndale","024dc85f9c768c46d12241ce14f4cbb72be5b8ce","- wext: fix potential private ioctl memory content leak   (CVE-2010-2955 bnc#635413).","1","37","0"
"1","kernel-arndale","fb77404ee89e0c39edfd61cc9fe6a64ad1fb39b7","- x86-64, compat: Test %rax for the syscall number, not %eax   (CVE-2010-3301 bnc#639708).","2","102","0"
"1","kernel-arndale","e6266b98cbc58a9ffe49fb4a652557fd5ddfae0d","- x86-64, compat: Retruncate rax after ia32 syscall entry tracing   (CVE-2010-3301 bnc#639708).","2","54","0"
"1","kernel-arndale","664a0ac1d4264279ad3ed00d1beac8688c31f3b9","- compat: Make compat_alloc_user_space() incorporate the   access_ok() (CVE-2010-3081 bnc#639709).","2","208","0"
"1","kernel-arndale","35e70c81ec0f0d367fa9ea3f72aa5b2950d04053","- drivers/net/usb/hso.c: prevent reading uninitialized memory   (CVE-2010-3298 bnc#639483).","2","31","0"
"1","kernel-arndale","a0634a98e3afcc66a3dce9f63f0e6d9eb45d4789","- drivers/net/cxgb3/cxgb3_main.c: prevent reading uninitialized   stack memory (CVE-2010-3296 bnc#639481).","2","31","0"
"1","kernel-arndale","2a7b1607f59c8942431267df54dbb037d71aa1b8","- drivers/net/eql.c: prevent reading uninitialized stack memory   (CVE-2010-3297 bnc#639482).","2","31","0"
"1","kernel-arndale","f04e61fe30c14d56c05fcdf07e84bccbe71db161","- irda: Correctly clean up self->ias_obj on irda_bind() failure   (CVE-2010-2954 bnc#636112).","2","43","0"
"1","kernel-arndale","66e1d72fc351d34778b99185c6c1744c1fafcce1","- net sched: fix kernel leak in act_police (CVE-2010-2942   bnc#632309).","2","55","0"
"1","kernel-arndale","819a107c2b6df5e2bca2b2efa9e8bce119d337b8","- patches.fixes/ext4-make-sure-the-move_ext-ioctl-can-t-overwrite-append-only-files:   ext4: Make sure the MOVE_EXT ioctl can't overwrite append-only   files (bnc#612457 CVE-2010-2066).","3","44","0"
"1","kernel-arndale","cc738af6bf87e48d36744ab67a7f0ab8e98ad7c8","- patches.fixes/gfs2-fix-writing-to-non-page-aligned-gfs2_quota-structures:   GFS2: Fix writing to non-page aligned gfs2_quota structures   (bnc#599957 CVE-2010-1436).","3","175","0"
"1","kernel-arndale","ea0a683d5116e26c61ed4158f0182ac90b2cbce1","- patches.fixes/gfs2-fix-permissions-checking-for-setflags-ioctl:   GFS2: Fix permissions checking for setflags ioctl() (bnc#608576   CVE-2010-1641).","3","56","2"
"1","kernel-arndale","ce7ad348d973f029bcd37ceab7ff3c1a5ff3fa12","- patches.fixes/reiserfs-fix-permissions-on-reiserfs_priv:   reiserfs: Fix permissions on .reiserfs_priv (bnc#593906   CVE-2010-1146).","3","87","0"
"1","kernel-arndale","9a2ed35e5c783498ed7c7985ffb8e5a6d660a2a5","- patches.drivers/e1000-enhance-frame-fragment-detection.patch:   e1000: enhance frame fragment detection (bnc#567376,   CVE-2009-4536). - patches.drivers/e1000e-enhance-frame-fragment-detection.patch:   e1000e: enhance frame fragment detection (bnc#567376,   CVE-2009-4538).","4","150","0"
"1","kernel-arndale","f17927a9d9d59b5ec5bf54cdbbe35e365bf3caea","- patches.fixes/firewire-ohci-handle-receive-packets-with-a-data-length-of-zero:   firewire: ohci: handle receive packets with a data length of   zero (bnc#564712 CVE-2009-4138).","3","67","0"
"1","kernel-arndale","0d47b0f513fe1c4e1e8249a9b3b2069e57b83129","- patches.fixes/ext4-fix-insufficient-checks-in-ext4_ioc_move_ext:   ext4: Fix insufficient checks in EXT4_IOC_MOVE_EXT (bnc#561018   CVE-2009-4131).","3","104","0"
"1","kernel-arndale","357b33295df98eee9e1b0a5a3aa5c453e48f22ba","- patches.fixes/megaraid_sas-fix-permissions-on-poll_mode_io:   megaraid_sas: Fix permissions on poll_mode_io (bnc#557180   CVE-2009-3939).","3","31","0"
"1","kernel-arndale","5ae4c0c43f3fc689b40bf8861de26a725b04a98e","- patches.fixes/mac80211-fix-spurious-delba-handling.patch:   mac80211: fix spurious delBA handling (bnc#558267,   CVE-2009-4026, CVE-2009-4027).","3","196","0"
"1","kernel-arndale","a887d0b9c0dc4aed436708316b6851a8e77d0aa7","- Update to 2.6.27.12-rc1:   - security fixes   - fixes CVE-2009-0029   - bug fixes all over the place.   - obsoletes the following patches:     - patches.arch/ppc-cmm_no_kdump.patch     - patches.drivers/alsa-caiaq-midi-oops-fix     - patches.drivers/alsa-hda-hp-6730b-quirk     - patches.drivers/ibmvfc-host_init_delay.patch     - patches.drivers/ibmvfc-improve_sync_events.patch     - patches.fixes/PCI-Suspend-and-resume-PCI-Express-ports-with-interrupts-disabled.patch     - patches.fixes/PCI-handle-PCI-state-saving-with-interrupts-disabled.patch     - patches.fixes/fs-symlink-write_begin-allocation-context-fix.patch     - patches.fixes/mm-lockless-pagecache-barrier.patch     - patches.fixes/pci-rework-suspend-of-devices-with-no-drivers.patch     - patches.fixes/uv-remove-erroneous-BAU-init - Update config files.","32","7144","1756"
"1","kernel-arndale","0dd6b14ac777a3acf7f10c9b94e7a11d4c4fae34","- patches.fixes/atm-duplicate-listen-on-socket-corrupts-the-vcc-table.patch:   ATM: duplicate listen() on socket corrupts the vcc table   (CVE-2008-5079).","3","47","0"
"1","kernel-arndale","b2f288012dd377dfde8d6c153924c17211f52587","- patches.fixes/af_unix-soft-lockup-fix.patch: net: Fix soft   lockups/OOM issues w/ unix garbage collector (bnc#449739   CVE-2008-5300).","3","116","0"
"1","kernel-arndale","1c5a538523792e715babdb853a97610c340ceccf","- patches.fixes/fix-inotify-watch-removal-umount-races: Fix   inotify watch removal/umount races (bnc#446973 CVE-2008-5182).","3","582","0"
"1","kernel-arndale","7e2664257ac800e555126dab9eb70d72af6760bd","- update to 2.6.27.3   - lots of bugfixes   - CVE-2008-3831 fix","3","769","0"
"1","kernel-arndale","5c79552a01fe1c685a1aa8b0bbc29b07f596b59e","- patches.fixes/ext2-avoid-printk-flood-with-dir-corruption:   ext2: Avoid printk floods in the face of directory corruption   (bnc#427244 CVE-2008-3528). - patches.fixes/ext3-avoid-printk-flood-with-dir-corruption:   ext3: Avoid printk floods in the face of directory corruption   (bnc#427244 CVE-2008-3528).","4","261","0"
"1","kernel-arndale","3aabaf02d4c1087e1281cb15a44505b15951eb12","- Update to 2.6.25.5.   - fixes CVE-2008-1673","3","103","0"
"1","kernel-arndale","446d2b909f29d6a32017c9821579c2203cb74345","- patches.kernel.org/patch-2.6.25.1-2: Linux 2.6.25.2.  - fixes CVE-2008-1669","3","74","0"
"1","kernel-arndale","c836550cf2cfd30ea2c277176461caaed983c023","- update to 2.6.25.1:   - fixes CVE-2008-1375 and CVE-2008-1675   - lots of other minor bugfixes","59","7872","6853"
"1","kernel-arndale","9273b16118a0ca5b0a47592fcfde5624802dc5c9","- Update to 2.6.24.1   - fixes CVE-2008-0007, CVE-2008-0009, CVE-2008-0010   - lots of USB device ids updated   - lots of other bugfixes   - removed patches.fixes/bootstrap-memoryless-node.patch as it is now     contained within.","4","1657","116"
"1","kernel-arndale","313a4b89435e03a8f68615854dae4d6b247285cf","- patches.xen/handle-bogus-cs-selector-in-single-step-instruction-decoding:   Handle bogus %cs selector in single-step instruction decoding   (326270, CVE-2007-3731).","3","90","0"
"1","kernel-arndale","cf2c85d2a3bd02f6b3a4b55df129a468085ba0c4","- patches.fixes/i386-fixup-TRACE_IRQ-breakage: i386: fixup   TRACE_IRQ breakage (326270, CVE-2007-3731). - patches.fixes/handle-bogus-%cs-selector-in-single-step-instruction-decoding:   Handle bogus %cs selector in single-step instruction decoding   (326270, CVE-2007-3731).","4","171","0"
"1","kernel-arndale","e1b909753c0ff877c7865c897fa54ecb3bed3270","- Update to 2.6.22.8   - fixes CVE-2007-4571","3","176","0"
"1","kernel-arndale","8549944af57bed6a80bf28bb8c76fd449a953a59","- Update to 2.6.22.7:   - fixes CVE-2007-4573","3","90","0"
"1","kernel-arndale","fa19b60336310098eac43e2f6acf397f5a687f3b","- Update to 2.6.22.4   - fixes CVE-2007-3848","3","57","0"
"1","kernel-arndale","abe05baeba52fbffb5ec5706a3c616ebd8e1f080","- updated to 2.6.22.2  - lots of bugfixes and also CVE-2007-3851  - removed the following patches, as they are now obsolete as they are    rolled into the 2.6.22.2 release: 	- patches.fixes/dm-raid1-fix-status.patch: Delete. 	- patches.fixes/dm-io-fix-panic-on-large-request.patch: Delete. 	- patches.fixes/dm-snapshot-permit-invalid-activation.patch: 	- patches.fixes/dm-disable-barriers.patch: Delete. - Update config files.","17","2980","446"
"1","kernel-arndale","b50a12598e7defd82357f9bdcd25913b325c5de1","- patches.fixes/ipv6-fix-null-pointer-hole: fix a possible memory leak   (CVE-2007-1000, #252485)","3","46","0"
"1","kernel-arndale","5fd03e63a1bb706615da289a4fc4c6922e22a205","- Update to 2.6.18.4   - security fix (CVE-2006-5751)","3","47","0"
"1","kernel-arndale","0af5afab4b07049d558243ce25b76ac0ac8719f3","- Update to 2.6.18.3   - fixes a number of minor things.   - a few security fixes too, (CVE-2005-4352) is one.","32","1123","608"
"1","kernel-arndale","ce8a32c0fa554ab3db6a23128734ed665399930d","- patches.fixes/fix-prctl-privilege-escalation-and-suid_dumpable.patch:   fix prctl privilege escalation and suid_dumpable (CVE-2006-2451)   (186980).","3","30","0"
"1","kernel-arndale","b3cb0237466b95034e86fa5d1f6e7c63bf333755","- Update to 2.6.16.19:   -  NETFILTER: Fix small information leak in SO_ORIGINAL_DST (CVE-2006-1343)","4","51","43"
"1","kernel-arndale","5cb47e73ae861062fa3df41e7a63dafa8deb6fc6","- Update to 2.6.16.18 (lots of bugfixes and security updates, public and non-public ones)   - fs/compat.c: fix 'if (a |= b )' typo   - smbus unhiding kills thermal management   - PCI quirk: VIA IRQ fixup should only run for VIA southbridges   - VIA quirk fixup, additional PCI IDs   - Netfilter: do_add_counters race, possible oops or info leak (CVE-2006-0039)   - Remove cond_resched in gather_stats()   - page migration: Fix fallback behavior for dirty pages   - via-rhine: zero pad short packets on Rhine I ethernet cards   - Fix udev device creation   - smbfs: Fix slab corruption in samba error path   - scx200_acb: Fix resource name use after free   - limit request_fn recursion   - TG3: ethtool always report port is TP.   - PCI: correctly allocate return buffers for osc calls   - add migratepage address space op to shmem   - Fix ptrace_attach()/ptrace_traceme()/de_thread() race   - ptrace_attach: fix possible deadlock schenario with irqs   - md: Avoid oops when attempting to fix read errors on raid10   - NETFILTER: SNMP NAT: fix memory corruption (CVE-2006-2444)   - USB: ub oops in block_uevent   - selinux: check for failed kmalloc in security_sid_to_context()   - fs/locks.c: Fix sys_flock() race   - SCTP: Respect the real chunk length when walking parameters (CVE-2006-1858)   - SCTP: Validate the parameter length in HB-ACK chunk (CVE-2006-1857)","12","943","419"
"1","kernel-arndale","fbe6c0d4e7899bef48a3b85530974de47b3ff1f1","- Update to 2.6.16.16:   - fs/locks.c: Fix lease_init (CVE-2006-1860)","3","65","8"
"1","kernel-arndale","a7b41508fb08e97ba1ffa89492416b48c3c07d56","- Update to 2.6.16.15:   - SCTP: Allow spillover of receive buffer to avoid deadlock. (CVE-2006-2275)   - SCTP: Fix panic's when receiving fragmented SCTP control chunks. (CVE-2006-2272)   - SCTP: Fix state table entries for chunks received in CLOSED state. (CVE-2006-2271)   - SCTP: Prevent possible infinite recursion with multiple bundled DATA. (CVE-2006-2274)","3","256","5"
"1","kernel-arndale","0e7d47a851bcff53f17cc12281ded6e42a215caa","- Update to 2.6.16.14:   - smbfs chroot issue (CVE-2006-1864)","3","27","5"
"1","kernel-arndale","c210de1a98663dbe5ccfbae3b349e36fac07ab71","- Update to 2.6.16.13   - NETFILTER: SCTP conntrack: fix infinite loop (CVE-2006-1527)","3","60","5"
"1","kernel-arndale","3f276209080f439873f30fdb74b05d11f373064f","- patches.arch/x86_64-execve-cleanup: Clean up execve path   (for next patch) (156580). - patches.arch/x86_64-force-iret: When user could have changed   RIP always force IRET [CVE-2006-0744] (156580).","4","119","0"
"1","kernel-arndale","e5601d4d996d9bc47f1aff82856216da8a66dc96","- patches.fixes/sysfs-off-by-one.patch: sysfs: zero terminate   sysfs write buffers (CVE-2006-1055).","4","410","0"
"1","kernel-arndale","3d5f379155307f5a15919cc41ed39a29edeedf10","+- update to 2.6.16.1 +  dm: bio split bvec fix +  TCP: Do not use inet->id of global tcp_socket when sending RST (CVE-2006-1242) +  Fix speedstep-smi assembly bug in speedstep_smi_ownership +  DMI: fix DMI onboard device discovery +  fix scheduler deadlock +  i810fb_cursor(): use GFP_ATOMIC +  NET: Ensure device name passed to SO_BINDTODEVICE is NULL terminated. +  V4L/DVB (3324): Fix Samsung tuner frequency ranges +  sata_mv: fix irq port status usage +  rtc.h broke strace(1) builds +  v9fs: assign dentry ops to negative dentries +  2.6.xx: sata_mv: another critical fix +  Kconfig: VIDEO_DECODER must select FW_LOADER +  XFS writeout fix +  proc: fix duplicate line in /proc/devices +  cciss: fix use-after-free in cciss_init_one","9","502","230"
"1","kernel-arndale","4cf5200234d392671273632586073c7ede068f01","- patches.fixes/nfs-revalidate-race: Nfs: Avoid races between   writebacks and truncation (144058). - UPDATE - patches.fixes/nfs-direct-io-vul: Normal user can panic NFS   client with direct I/O (CVE-2006-0555) (151056).","4","50","5"
"1","kernel-arndale","fe7039488ce153a8b2678547c54a70779745364d","+- update to 2.6.14.1 +  CVE-2005-2709 sysctl unregistration oops","3","317","0"
"1","cassandra","c0aa79e5453d64a583ba2197b2ac76d04ecd7020","CVE-2017-5929 Security vulnerability and redefine default log rotation policy.","11","39","21"
"1","cassandra","4bbd28a043f15dd6c19de157acb5950319e8c16c","CVE-2017-5929 Security vulnerability in Logback warning in NEWS.txt","2","12","0"
"1","felix","e2180adcbf7f82781743667ae366d1c850811619","FELIX-5893 : JQuery Security bug CVE-2015-9251 in Web Console. Apply patch from Christanto Leonardo","9","18","9476"
"1","felix","042ecde46f7bc1115898c98161f0872461cba989","FELIX-5664 : Update Jetty to 9.3.20.v20170531 or 9.4.6.v20170531 to fix CVE-2017-9735Adjust ittest to R6 implementation","5","42","44"
"1","open-build-service","b602ef829f5fbb823d372f405b53773ca2f6186b","Merge pull request #4689 from DavidKang/update-loofah-CVE-2018-8048","1","1","1"
"1","ofbiz-plugins","2c37a1ba0a3d83a46482608d428fd8872f716df4","Fixed: Update Apache Tomcat to 9.0.10 because of CVE-2018-8037 (OFBIZ-10517)","1","1","1"
"1","ofbiz-plugins","9f86cdd6aea7c9082324966c5fd170cb5b8f9261","Improved: Update Solr and Lucene from 7.2.1 to Solr 7.3.1 for security reason (CVE-2018-8010) (OFBIZ-10415)","1","1","1"
"1","ofbiz-plugins","d80c74170a794ce4546202e7fe9e6d9659799232","Improved: Update Solr and Lucene from 7.2.1 to Solr 7.3.1 for security reason (CVE-2018-8010) (OFBIZ-10415)","2","4","4"
"1","ofbiz-plugins","2ddc9df4523bbbd3a4f58cc95b52804630d81aa3","Improved: Update Solr/Lucene to 7.1.0 [CVE-2017-9803] [CVE-2017-12629]. (OFBIZ-9835)","8","216","36"
"1","ofbiz-plugins","45d18be23021f2a6ce14313364b5755b160bcfaf","In framework/base/lib/ updates Xalan from 2.7.1 to 2.7.2 because of CVE-2014-0107 (was fixed at XALANJ-2435) - https://issues.apache.org/jira/browse/OFBIZ-6905 This implies to update also Xerces from 2.9.1 to 2.11.0 and also xml-apis from 2.9.1 to 1.4.01 (2.9.1 was a wrong version number. It was actually part of the Xerces 2.9.1 package but I was unable to find the real version number then at https://xerces.apache.org/xerces2-j/releases.html)","2","0","0"
"1","ofbiz-plugins","0a24a573a2f7e22407c12de5e6eb382c5956dfe8","OFBIZ-6568: upgraded Groovy to the latest version (2.4.5). [CVE-2016-2170] The infamous Java serialization vulnerability","1","2","0"
"1","ofbiz-plugins","750fa87261e2eca689d43f218751c6a68bf719a1","CVE-2012-1621: Escape errors returned from ajax calls in the checkout pages","1","3","2"
"1","beam","2626fb54d94e4f60fc51cacc8fa3e745354ac3ad","[BEAM-3873] Current version of commons-compress is DOS vulnerable CVE-2018-1324","4","5","24"
"1","beam","e577d64f2851eab3cae4c7412f57d59539108953","[BEAM-3873] Update commons-compress to version 1.16.1 (fix CVE-2018-1324)","2","2","2"
"1","qpid-site","4a159ca29003b3784d2d1e46dc7d93973bf357c3","Update site content for CVE-2018-8030","2","18","2"
"1","qpid-site","9ccb93178d768f2e92c68434b4f6b500c4cbcdde","Update site content for CVE-2018-8030","4","263","0"
"1","qpid-site","0983df917c210577cec252f2b9cbcd51c7bc3dbf","add CVE-2017-15699 detail to release notes for dispatch 1.0.0 and clarify for 0.8.1","4","5","2"
"1","qpid-site","e4a918b02ccca59c9297c0777406fcfd4cb3c5ac","Added information about new security vulnearbility CVE-2017-15699","12","428","4"
"1","qpid-site","5d4cf889afcc479c4b23a74bdd3763d2dcecf726","NO-JIRA: Update site pages related to CVE-2017-15701 and CVE-2017-15702","5","398","1"
"1","qpid-site","6bfb1bf48c18d6fe5d263f3ad6a323f3fb3991f2","Add CVE-2017-15701 and CVE-2017-15702 to Broker-J security page","3","94","0"
"1","qpid-site","d6ae1f10ee549b575aa36ee5715c151e0d24b976","NO-JIRA: Add more detail to CVE-2016-4974 description","4","28","8"
"1","openoffice","b0c1db7e469c96b52d27b745bf0944368fd7c645","Make spreadsheets ask to update links. CVE CVE-2017-3157","3","64","20"
